time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot
1756353600,112000,113360,111945.07,113114.11,112148.47876600588,111684.29166666705,112368.07166666638,111128.4884050539,115783.15066666674,114148.55674384673
1756368000,113114.11,113351.51,112826.22,112909.18,112402.04584400392,111608.4150000004,112288.03999999973,111121.15570361407,115751.57733333338,114121.0150384279
1756382400,112909.18,113485.9,112391.56,112678.53,112494.20722933595,111536.68708333373,112216.89533333307,111125.50041429575,115725.34688888896,114088.95981535173
1756396800,112678.53,113186.56,111901.35,111901.36,112296.59148622397,111507.57708333374,112109.14366666641,111129.39972922087,115694.10283333338,114040.3464861217
1756411200,111901.36,112575.98,111872.06,112566.9,112386.69432414931,111468.96500000042,112013.4386666664,111139.80339285688,115664.19250000005,114007.60323087458
1756425600,112566.9,112638.64,111302.27,111704.23,112159.20621609954,111418.43958333375,111902.37966666641,111143.19258358669,115628.31672222227,113956.41715907738
1756440000,111704.24,111850.56,109899.99,110019.38,111445.93081073303,111356.26583333373,111740.08599999973,111117.80102994463,115583.29655555561,113868.9274444312
1756454400,110019.38,110270.3,109414.18,110098.81,110996.89054048869,111309.75916666706,111585.70566666641,111067.79511337618,115541.7344444445,113785.14705677718
1756468800,110098.81,111517.07,108103,108386.23,110126.67036032579,111150.82541666708,111385.24666666641,110972.87490687716,115488.32455555562,113665.17112218215
1756483200,108386.23,108832,107934.24,108212.01,109488.4502402172,111046.48708333376,111238.9803333331,110837.1576038789,115439.96500000008,113543.98976391142
1756497600,108212.01,108549.99,107463.9,108377.4,109118.1001601448,110974.2129166671,111068.44066666641,110671.04820317225,115387.3933333334,113429.17665804672
1756512000,108377.4,108436.21,107350.1,108436.2,108890.8001067632,110914.0729166671,110919.08599999975,110482.51739464057,115331.67144444451,113318.22162120124
1756526400,108436.21,108697.28,108120,108524.26,108768.62007117546,110839.9504166671,110819.5096666664,110280.91234402977,115275.32861111117,113211.6891407301
1756540800,108524.26,108777.43,108400,108680.01,108739.08338078365,110790.09583333378,110735.01099999974,110075.01807591443,115221.48838888895,113110.98515982498
1756555200,108680.01,108926.15,108190.52,108869.98,108782.7155871891,110756.91458333377,110623.98899999974,109874.5879759858,115169.06505555562,113016.74060071778
1756569600,108869.98,108900,108625.46,108828.33,108797.9203914594,110661.59375000042,110561.06233333307,109684.00559974756,115124.8569444445,112923.66480959073
1756584000,108828.32,108838.27,108468.77,108816.33,108804.0569276396,110538.8066666671,110517.87399999975,109505.52841773108,115086.25833333339,112832.39070271094
1756598400,108816.33,109480.02,108801.35,109223.84,108943.9846184264,110447.37708333378,110496.01666666642,109346.56735751269,115050.56838888896,112752.20068709513
1756612800,109223.84,109231.41,108523.49,108708.26,108865.4097456176,110363.33875000042,110442.85199999975,109198.95340199959,115015.16000000006,112662.33533849301
1756627200,108708.25,109100,108303.21,108389.76,108706.85983041173,110241.1591666671,110393.29333333309,109057.80770629908,114976.73838888895,112567.38921985982
1756641600,108389.77,108858.43,108191.29,108818.69,108744.13655360782,110108.60458333377,110365.03866666643,108928.82838304521,114940.40988888896,112484.08479275183
1756656000,108818.69,109237.51,108555,108930,108806.09103573854,109977.32583333377,110292.17099999977,108812.59822545697,114915.97277777785,112405.10513069069
1756670400,108930,109230,108076.93,108246.35,108619.51069049236,109851.67333333376,110174.94199999976,108699.30556277302,114887.9084444445,112312.68835000866
1756684800,108246.36,108482.98,107393,107660.01,108299.67712699491,109670.84000000043,110049.67066666642,108581.88356319065,114853.18705555562,112209.29549778624
1756699200,107660,109432.99,107255,109432.99,108677.44808466328,109517.46000000043,110006.59766666642,108485.17249077643,114827.9120555556,112147.59982005766
1756713600,109432.99,109912.4,108186.41,108782.88,108712.59205644218,109345.53083333377,109921.95799999974,108398.5996656415,114800.11072222226,112072.82826850082
1756728000,108782.89,109520,108566,108784.33,108736.50470429478,109183.27250000044,109814.76899999975,108321.69727088648,114777.57527777783,111999.75052920078
1756742400,108784.33,109329.65,108391.3,109217.64,108896.88313619653,109071.45083333377,109719.33399999976,108260.05777434955,114760.8431666667,111937.9258507741
1756756800,109217.65,109442.95,107459.49,109237.42,109010.39542413101,108932.72250000044,109651.84766666642,108211.94234090352,114742.46022222226,111877.91460964578
1756771200,109237.43,110623.97,108883.8,110322.18,109447.65694942068,108875.13708333376,109595.91999999975,108189.025111524,114724.22677777782,111843.34272943143
1756785600,110322.19,110610.5,110000,110233.92,109709.74463294711,108884.07625000043,109499.91366666643,108187.1188684044,114704.97077777781,111807.57777988851
1756800000,110233.91,110711.1,109563.87,109733.34,109717.60975529808,108868.84833333378,109394.0523333331,108196.59313819493,114682.03277777781,111761.4836070021
1756814400,109733.33,111771.52,108393.39,110829.17,110088.12983686538,108970.63750000043,109332.40699999974,108228.46241380734,114664.64450000002,111740.76552684649
1756828800,110829.16,111119.58,110200,110806,110327.41989124358,109078.7204166671,109295.89499999976,108276.49256883792,114645.16011111114,111719.99295958324
1756843200,110806.01,111538.17,110716.77,111240.01,110631.61659416239,109197.99583333377,109251.66533333309,108343.45239334878,114628.66683333334,111709.3266715925
1756857600,111240.01,111782.21,110892.14,111054.01,110772.41439610826,109307.07125000043,109229.99133333308,108422.32154411235,114609.13016666668,111694.76407889042
